"96879",\N,"2015-04-09",\N,"净值标 
											 	 				 ","101826","已还款","短期周转",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","31岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96880",\N,"2015-04-03",\N,"净值标 
											 	 				 ","8465","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96881",\N,"2015-04-02",\N,"净值标 
											 	 				 ","26357","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96882",\N,"2015-04-02",\N,"净值标 
											 	 				 ","114000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96883",\N,"2015-04-02",\N,"净值标 
											 	 				 ","30000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96884",\N,"2015-04-02",\N,"净值标 
											 	 				 ","90000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96885",\N,"2015-04-02",\N,"净值标 
											 	 				 ","50000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96886",\N,"2015-04-02",\N,"净值标 
											 	 				 ","1023","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96887",\N,"2015-04-02",\N,"净值标 
											 	 				 ","20000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96888",\N,"2015-04-02",\N,"净值标 
											 	 				 ","90000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96889",\N,"2015-04-02",\N,"净值标 
											 	 				 ","75000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96890",\N,"2015-04-02",\N,"净值标 
											 	 				 ","30000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96891",\N,"2015-04-02",\N,"净值标 
											 	 				 ","25000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96892",\N,"2015-04-02",\N,"净值标 
											 	 				 ","126000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96893",\N,"2015-03-26",\N,"净值标 
											 	 				 ","4033","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96894",\N,"2015-03-26",\N,"净值标 
											 	 				 ","41390","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96895",\N,"2015-03-25",\N,"净值标 
											 	 				 ","51491","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96896",\N,"2015-03-23",\N,"净值标 
											 	 				 ","49228","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96897",\N,"2015-03-21",\N,"净值标 
											 	 				 ","3440","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96898",\N,"2015-03-21",\N,"净值标 
											 	 				 ","3262","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96899",\N,"2015-03-21",\N,"净值标 
											 	 				 ","3648","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96900",\N,"2015-03-20",\N,"净值标 
											 	 				 ","169700","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96901",\N,"2015-03-20",\N,"净值标 
											 	 				 ","1500","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96902",\N,"2015-03-20",\N,"净值标 
											 	 				 ","1500","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96903",\N,"2015-03-17",\N,"45天标 
							 					 ","300000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96904",\N,"2015-03-16",\N,"净值标 
											 	 				 ","23950","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96905",\N,"2015-03-16",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96906",\N,"2015-03-15",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96907",\N,"2015-03-15",\N,"45天标 
							 					 ","150000","已还款"," ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96908",\N,"2015-03-13",\N,"净值标 
											 	 				 ","4680","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96909",\N,"2015-03-13",\N,"净值标 
											 	 				 ","4600","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96910",\N,"2015-03-14",\N,"45天标 
							 					 ","300000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96911",\N,"2015-03-13",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96912",\N,"2015-03-11",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96913",\N,"2015-03-10",\N,"净值标 
											 	 				 ","31400","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96914",\N,"2015-03-10",\N,"净值标 
											 	 				 ","6992","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96915",\N,"2015-03-10",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96916",\N,"2015-03-10",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96917",\N,"2015-03-09",\N,"45天标 
							 					 ","300000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96918",\N,"2015-03-08",\N,"45天标 
							 					 ","300000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96919",\N,"2015-03-06",\N,"111111 
											 	 ","2000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","29岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96920",\N,"2015-03-06",\N,"45天 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96921",\N,"2015-03-05",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96922",\N,"2015-03-03",\N,"净值标 
											 	 				 ","10000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96923",\N,"2015-03-03",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96924",\N,"2015-03-02",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96925",\N,"2015-03-02",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96926",\N,"2015-03-01",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96927",\N,"2015-02-27",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96928",\N,"2015-02-27",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96929",\N,"2015-02-27",\N,"90天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96930",\N,"2015-02-18",\N,"90天标  
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96931",\N,"2015-02-17",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96932",\N,"2015-02-16",\N,"净值标 
											 	 				 ","56000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96933",\N,"2015-02-16",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96934",\N,"2015-02-16",\N,"净值标 
											 	 				 ","8800","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96935",\N,"2015-02-16",\N,"90天标  
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96936",\N,"2015-02-15",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96937",\N,"2015-02-14",\N,"净值标 
											 	 				 ","35000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96938",\N,"2015-02-14",\N,"净值标 
											 	 				 ","5600","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96939",\N,"2015-02-14",\N,"净值标3 
											 	 				 ","10000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96940",\N,"2015-02-14",\N,"净值标 
											 	 				 ","10000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96941",\N,"2015-02-14",\N,"净值标 
											 	 				 ","20000","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96942",\N,"2015-02-15",\N,"45天标 
							 					 ","150000","已还款","",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96943",\N,"2015-02-13",\N,"债权标A 
											 	 				 ","16100","","1",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","46岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96944",\N,"2015-02-13",\N,"债权05 
											 	 				 ","9175","","",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96945",\N,"2015-02-13",\N,"债权03 
											 	 				 ","2000",\N,\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96946",\N,"2015-02-13",\N,"债权02 
											 	 				 ","6000",\N,\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96947",\N,"2015-02-13",\N,"债权01 
											 	 				 ","1000",\N,\N,\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"女","34岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96948",\N,"2015-02-13",\N,"90天标  
							 					 ","150000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96949",\N,"2015-02-13",\N,"45天标 
							 					 ","150000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96950",\N,"2015-02-12",\N,"90天提现标 
							 					 ","150000","已还款","到期奖励3%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"96951",\N,"2015-02-12",\N,"45天提现标  
							 					 ","150000","已还款","到期奖励0.8%",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
